Question,Answer
School Messenger_How do I create subjects?,"Greetings from MyClassboard. We are happy to inform that the Organization Setup has been completed successfully. The next step is Product Onboarding. To get started with School Messenger set up, please provide the details listed below: List of · Subjects · Class teachers · Subject Teachers Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
School Messenger_How do I map teachers to subjects?,How to edit subjects?
School Messenger_How do I  assign/unassign teacher to a class?,How to assign/unassign teacher to a class?
School Messenger_How do I send login details to all my users?,"Greetings from MyClassboard. We have successfully created the subjects and mapped teachers accordingly. Logins are created for the users as per the details shared with us earlier. Kindly reply back to this email confirming your consent to share the login credentials with the users. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
How to reset Users password?,How to reset Users password?
School Messenger_How do I enable my users to login to MCB through my school website?,"Greetings from MyClassboard. In order to improve the user experience, we are now providing weblinks for Parent Logins from within your website. We are now ready to add MCB Parent Login button on your school’s website. Our team will get in touch with your web designer shortly. Please ensure that the required information is provided by him/her. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
School Meseenger_Subject Creation and Teacher Mapping,"Greetings from MyClasssboard. We would like to extend our warm welcome for joining MCB family. We are committed to deliver delightful customer experience through your journey with us. Our customer success experts will be in constant touch with you in order to ensure smooth transition/implementation of MCB at <<school Name>>. As a first step, we would like to inform you that the organization setup has been successfully completed. Congratulations and welcome onboard. Best Regards, MCB Support Team"
School Onboarding_How do I add students?,"Greetings from MyClassboard. As a second step would require student details so that we can go ahead and upload the same. Please download excel sheet from the following link, fill in the data and send it back to us at the earliest. (Kindly do not edit any fields) https://www.myclassboard.com/onboarding/StudentDetailsSample.csv Please feel free to contact us on 040 48584444 or Reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
School Onboarding_How do I add teachers and non teaching staff?,"Greetings from MyClassboard. As a next step would require staff details so that we can go ahead and upload the same. Please download excel sheet from the following link, fill in the data and send it back to us at the earliest. (Kindly do not edit any fields) https://www.myclassboard.com/onboarding/StaffEnrollmentSample.csv Please feel free to contact us on 040 48584444 or Reply back to this email, should you need any further assistance. Best Regards, MCB Support Team"
School Onboarding_User Access Creation,"Greetings from MyClassboard. We have now successfully uploaded the student & staff data. The next step is to create Users and assign Access Levels to them based on their roles & responsibilities. Please let us know the details of users and the required accesses respectively. Types of Accesses available: 1. Overall Tool Access – (Super Admin, Chairman, Director, School Coordinator etc.) 2. Branch Level Full Access – (Principal) 3. Fee Collections Module – (Principal & Accountant) 4. School Messenger – (Principal, Teachers & Front Office) 5. Grade Book – (Principal, Academic In-Charge, Teachers) 6. Transport – (Principal & Transport In-Charge) 7. Library – (Principal & Librarian) 8. Inventory – (Principal & Admin Officer) 9. Admissions – (Principal, Admissions Counsellor & Front Office) 10. Student Information System – (Principal & Front Office) Kindly reply with the details sought below: Name Designation Email ID Phone Number Type of Access Required Please feel free to contact us on 040 48584444 or Reply back to this email, should you need any further assistance. Best Regards, MCB Support Team"
School Onboarding_How do I configure SMS Sender ID and Email Sender ID for my school?,"Greetings from MyClasssboard. In order to set up the SMS gateway and school messenger, please provide the details below: SMS Sender ID: (Please note that the Sender ID needs to be a 6-digit alphabet code only. Viz. MCBSCH etc.) Email Sender Id: (Please note that all the emails sent out from the school will show this sender id. Viz. principal@mcbschool.com or info@mcbschool.com etc.) Password set up: We shall assist you to get this done over a quick call. Please feel free to contact us on 040 48584444 or Reply back to this email, should you need any further assistance. Best Regards, MCB Support Team"
School Onboarding_What is NACH and how can I enable NACH Payment Mode for my School?,"National Automated Clearing House (NACH) aims to replace and consolidate multiple existing Electronic Clearing Service (ECS) systems across India and create a faster and more efficient clearing platform. The various facilities offered by NACH include standardization and digitisation of mandates, overall simplification, reduction of operational cost, and minimisation of activation time. Existing ECS mandates will now be moved to the NACH platform, in partnership with the participating banks. NACH will considerably reduce the turnaround time that was previously required for activation of ECS mandates, as well as significantly simplify Aadhar-based benefit transfers. NACH Payment mode can be enabled through a simple process of filling up a NACH form. Upon onboarding, clients account will be automatically linked to MCB account and on the designated date MCB be will receive the Pending payment without any manual/human intervention. Clients do not have to worry about keeping a track of their upcoming payments with MCB."
Fee Collections_Finance setup and fee plans creation,"Greetings from MyClassboard. To get started with Fee Collection, please provide the details listed below: · Financial Year (From dd/mm/yyyytodd/mm/yyyy) · Class wise Fee plans Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Fee Collections_Miscellaneous fee creation,"Greetings from MyClassboard. We have now successfully created the Basic Fee plans. As a next step we would require the following details · Miscellaneous Fee types · Class wise Miscellaneous fee plans Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
